MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
2,arFarming,0.022,490.5428,2,548,16,"({'mainDB': 'n10', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n10', 'visualizer': 'n10', 'calibre': 'n6', 'rectify': 'n10', 'roiSel': 'n6'},)"
3,arFarming,0.023,46.4104,3,548,16,"({'mainDB': 'n14', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n4', 'visualizer': 'n4', 'calibre': 'n6', 'rectify': 'n4', 'roiSel': 'n6'},)"
4,arFarming,0.022,46.4104,3,548,16,"({'mainDB': 'n14', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n4', 'visualizer': 'n4', 'calibre': 'n6', 'rectify': 'n4', 'roiSel': 'n6'},)"
5,arFarming,0.023,46.4104,5,548,16,"({'mainDB': 'n14', 'imgQueue': 'n13', 'snsQueue': 'n13', 'ctrlQueue': 'n13', 'recognizer': 'n0', 'visualizer': 'n4', 'calibre': 'n13', 'rectify': 'n0', 'roiSel': 'n6'},)"
6,arFarming,0.023,46.4104,5,548,16,"({'mainDB': 'n14', 'imgQueue': 'n13', 'snsQueue': 'n13', 'ctrlQueue': 'n13', 'recognizer': 'n0', 'visualizer': 'n4', 'calibre': 'n13', 'rectify': 'n0', 'roiSel': 'n6'},)"
7,arFarming,0.023,46.4104,5,548,16,"({'mainDB': 'n14', 'imgQueue': 'n13', 'snsQueue': 'n13', 'ctrlQueue': 'n13', 'recognizer': 'n0', 'visualizer': 'n4', 'calibre': 'n13', 'rectify': 'n0', 'roiSel': 'n6'},)"
8,arFarming,0.023,46.4104,5,548,16,"({'mainDB': 'n14', 'imgQueue': 'n13', 'snsQueue': 'n13', 'ctrlQueue': 'n13', 'recognizer': 'n0', 'visualizer': 'n4', 'calibre': 'n13', 'rectify': 'n0', 'roiSel': 'n6'},)"
9,arFarming,0.023,46.4104,5,548,16,"({'mainDB': 'n14', 'imgQueue': 'n13', 'snsQueue': 'n13', 'ctrlQueue': 'n13', 'recognizer': 'n0', 'visualizer': 'n4', 'calibre': 'n13', 'rectify': 'n0', 'roiSel': 'n6'},)"
3,arFarming,0.054,34.3654,3,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n13', 'calibre': 'n6', 'rectify': 'n13', 'roiSel': 'n6'},)"
4,arFarming,0.054,31.5814,4,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n6', 'rectify': 'n13', 'roiSel': 'n6'},)"
5,arFarming,0.054,31.566,5,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n18', 'rectify': 'n13', 'roiSel': 'n18'},)"
6,arFarming,0.054,31.566,6,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n18', 'rectify': 'n21', 'roiSel': 'n18'},)"
7,arFarming,0.054,31.566,6,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n18', 'rectify': 'n21', 'roiSel': 'n18'},)"
8,arFarming,0.054,31.566,6,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n18', 'rectify': 'n21', 'roiSel': 'n18'},)"
9,arFarming,0.054,31.566,6,1412,32,"({'mainDB': 'n16', 'imgQueue': 'n6', 'snsQueue': 'n6', 'ctrlQueue': 'n6', 'recognizer': 'n13', 'visualizer': 'n22', 'calibre': 'n18', 'rectify': 'n21', 'roiSel': 'n18'},)"
2,arFarming,0.212,490.5428,2,5898,64,"({'mainDB': 'n17', 'imgQueue': 'n24', 'snsQueue': 'n24', 'ctrlQueue': 'n24', 'recognizer': 'n17', 'visualizer': 'n17', 'calibre': 'n24', 'rectify': 'n17', 'roiSel': 'n24'},)"
3,arFarming,0.211,20.0442,3,5898,64,"({'mainDB': 'n13', 'imgQueue': 'n24', 'snsQueue': 'n24', 'ctrlQueue': 'n24', 'recognizer': 'n40', 'visualizer': 'n40', 'calibre': 'n24', 'rectify': 'n40', 'roiSel': 'n24'},)"
4,arFarming,0.208,20.0288,4,5898,64,"({'mainDB': 'n13', 'imgQueue': 'n3', 'snsQueue': 'n3', 'ctrlQueue': 'n3', 'recognizer': 'n40', 'visualizer': 'n40', 'calibre': 'n35', 'rectify': 'n13', 'roiSel': 'n35'},)"
