Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change
binpack.pl,distSecurity,229.37,4,44471,0.009143300000000002,16,"{'n2': 2, 'n15': 25, 'n14': 10, 'n3': 50}","{('n2', 'n3'): 4.1, ('n15', 'n2'): 1.0, ('n3', 'n15'): 5.0, ('n14', 'n3'): 1.0, ('n14', 'n15'): 0.5, ('n15', 'n14'): 1.5, ('n5', 'n15'): 1.6, ('n1', 'n15'): 1.6, ('n1', 'n3'): 1.6}",0.0
ortools,distSecurity,229.37,4,189,0.01,16,"{'n2': 2, 'n15': 25, 'n14': 10, 'n3': 50}","{('n2', 'n3'): 4.1, ('n15', 'n2'): 1.0, ('n3', 'n15'): 5.0, ('n14', 'n3'): 1.0, ('n14', 'n15'): 0.5, ('n15', 'n14'): 1.5, ('n5', 'n15'): 1.6, ('n1', 'n15'): 1.6, ('n1', 'n3'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1958,1.441,16,"{'n11': 7, 'n8': 80}","{('n11', 'n8'): 2.5, ('n8', 'n11'): 5.5, ('n5', 'n8'): 1.6, ('n1', 'n8'): 3.2, ('n2', 'n8'): 1.6}",-955.3996226935996
binpack_num.pl,distSecurity,51.94820000000001,2,46316,0.009259198,16,"{'n8': 12, 'n14': 75}","{('n8', 'n14'): 4.0, ('n14', 'n8'): 2.5, ('n11', 'n14'): 1.6, ('n10', 'n14'): 3.2, ('n2', 'n14'): 1.6}",-677.32625962016
binpack.pl,distSecurity,403.90619999999996,3,560187,0.073585775,16,"{'n15': 12, 'n5': 55, 'n14': 20}","{('n15', 'n5'): 4.0, ('n5', 'n15'): 1.0, ('n14', 'n15'): 1.5, ('n11', 'n14'): 1.6, ('n10', 'n14'): 1.6, ('n10', 'n5'): 1.6, ('n2', 'n5'): 1.6}",0.024560157779192137
ortools,distSecurity,403.807,4,323,0.017,16,"{'n15': 12, 'n12': 5, 'n14': 20, 'n5': 50}","{('n15', 'n5'): 3.5, ('n12', 'n15'): 1.0, ('n5', 'n12'): 5.0, ('n15', 'n12'): 0.5, ('n14', 'n15'): 1.5, ('n11', 'n14'): 1.6, ('n10', 'n14'): 1.6, ('n10', 'n5'): 1.6, ('n2', 'n5'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1958,0.557,16,"{'n10': 7, 'n14': 80}","{('n10', 'n14'): 5.7, ('n14', 'n10'): 5.5, ('n11', 'n14'): 1.6, ('n2', 'n14'): 1.6}",-1758.0361661988682
binpack_num.pl,distSecurity,21.7392,2,50726,0.010386267000000001,32,"{'n1': 12, 'n31': 75}","{('n1', 'n31'): 5.6, ('n31', 'n1'): 2.5, ('n2', 'n31'): 1.6, ('n4', 'n31'): 3.2}"
ortools_num,distSecurity,21.733,2,7494,0.672,32,"{'n16': 7, 'n4': 80}","{('n16', 'n4'): 2.5, ('n4', 'n16'): 5.5, ('n2', 'n4'): 1.6, ('n1', 'n4'): 1.6}"
binpack_num.pl,distSecurity,21.7392,2,61318,0.013674449000000005,64,"{'n42': 12, 'n5': 75}","{('n42', 'n5'): 4.0, ('n5', 'n42'): 2.5, ('n1', 'n5'): 1.6, ('n2', 'n5'): 1.6}",-1618.5407006697578
ortools,distSecurity,373.597,5,1826,0.077,64,"{'n17': 2, 'n63': 5, 'n9': 10, 'n53': 20, 'n31': 50}","{('n17', 'n31'): 2.5, ('n63', 'n17'): 1.0, ('n31', 'n63'): 5.0, ('n9', 'n31'): 1.0, ('n9', 'n63'): 0.5, ('n53', 'n9'): 1.5, ('n5', 'n53'): 1.6, ('n1', 'n53'): 1.6, ('n5', 'n31'): 1.6, ('n2', 'n31'): 1.6}",0.0
binpack.pl,distSecurity,373.6962,4,13037484,2.209736933,64,"{'n38': 2, 'n31': 55, 'n9': 10, 'n53': 20}","{('n38', 'n31'): 2.5, ('n31', 'n38'): 1.0, ('n9', 'n31'): 1.5, ('n53', 'n9'): 1.5, ('n5', 'n53'): 1.6, ('n1', 'n53'): 1.6, ('n5', 'n31'): 1.6, ('n2', 'n31'): 1.6}",0.026545627169876546
ortools_num,distSecurity,21.733,2,29318,1.408,64,"{'n17': 7, 'n60': 80}","{('n17', 'n60'): 2.5, ('n60', 'n17'): 5.5, ('n5', 'n60'): 3.2, ('n1', 'n60'): 1.6, ('n2', 'n60'): 1.6}",-1619.0309667326183
binpack.pl,distSecurity,159.86,5,3028316,0.36556658200000003,128,"{'n108': 2, 'n30': 5, 'n67': 10, 'n127': 20, 'n33': 50}","{('n108', 'n33'): 2.5, ('n30', 'n108'): 1.0, ('n33', 'n30'): 5.0, ('n67', 'n33'): 1.0, ('n67', 'n30'): 0.5, ('n127', 'n67'): 1.5, ('n1', 'n127'): 1.6, ('n0', 'n127'): 1.6, ('n0', 'n33'): 1.6, ('n8', 'n33'): 1.6}",0.0
binpack_num.pl,distSecurity,21.7392,2,106396,0.027542918,128,"{'n103': 12, 'n51': 75}","{('n103', 'n51'): 4.0, ('n51', 'n103'): 2.5, ('n1', 'n51'): 1.6, ('n0', 'n51'): 3.2, ('n8', 'n51'): 1.6}",-635.35364686833
ortools,distSecurity,159.86,5,5476,0.283,128,"{'n47': 2, 'n28': 5, 'n67': 10, 'n127': 20, 'n33': 50}","{('n47', 'n33'): 2.5, ('n28', 'n47'): 1.0, ('n33', 'n28'): 5.0, ('n67', 'n33'): 1.0, ('n67', 'n28'): 0.5, ('n127', 'n67'): 1.5, ('n1', 'n127'): 1.6, ('n0', 'n127'): 1.6, ('n0', 'n33'): 1.6, ('n8', 'n33'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,115974,5.646,128,"{'n28': 7, 'n127': 80}","{('n28', 'n127'): 2.5, ('n127', 'n28'): 5.5, ('n1', 'n127'): 1.6, ('n0', 'n127'): 3.2, ('n8', 'n127'): 1.6}",-635.5634288869462
binpack.pl,distSecurity,229.37,3,171324,0.08796625299999994,256,"{'n172': 2, 'n82': 75, 'n115': 10}","{('n172', 'n82'): 2.5, ('n82', 'n172'): 1.0, ('n115', 'n82'): 1.5, ('n82', 'n115'): 1.5, ('n5', 'n82'): 4.800000000000001, ('n6', 'n82'): 1.6}",30.304747787417707
binpack_num.pl,distSecurity,21.7392,2,256473,0.08623110300000003,256,"{'n0': 12, 'n101': 75}","{('n0', 'n101'): 4.0, ('n101', 'n0'): 2.5, ('n5', 'n101'): 4.800000000000001, ('n6', 'n101'): 1.6}",-635.35364686833
ortools,distSecurity,159.86,4,24514,1.6,256,"{'n13': 2, 'n82': 55, 'n59': 10, 'n5': 20}","{('n13', 'n82'): 2.5, ('n82', 'n13'): 1.0, ('n59', 'n82'): 1.5, ('n5', 'n59'): 1.5, ('n5', 'n82'): 1.6, ('n6', 'n82'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,461318,20.265,256,"{'n240': 7, 'n198': 80}","{('n240', 'n198'): 2.5, ('n198', 'n240'): 5.5, ('n5', 'n198'): 4.800000000000001, ('n6', 'n198'): 1.6}",-635.5634288869462
binpack_num.pl,distSecurity,21.7392,2,858671,0.33585489699999993,512,"{'n99': 12, 'n505': 75}","{('n99', 'n505'): 4.0, ('n505', 'n99'): 2.5, ('n4', 'n505'): 1.6, ('n3', 'n505'): 1.6, ('n1', 'n505'): 1.6, ('n7', 'n505'): 1.6}",-635.35364686833
binpack.pl,distSecurity,159.86,5,11934767,1.7863755869999998,512,"{'n24': 2, 'n121': 5, 'n469': 10, 'n360': 20, 'n484': 50}","{('n24', 'n484'): 2.5, ('n121', 'n24'): 1.0, ('n484', 'n121'): 5.0, ('n469', 'n484'): 1.0, ('n469', 'n121'): 0.5, ('n360', 'n469'): 1.5, ('n4', 'n360'): 1.6, ('n3', 'n360'): 1.6, ('n1', 'n484'): 1.6, ('n7', 'n484'): 1.6}",0.0
ortools,distSecurity,159.86,4,82730,8.039,512,"{'n427': 2, 'n296': 55, 'n257': 10, 'n462': 20}","{('n427', 'n296'): 2.5, ('n296', 'n427'): 1.0, ('n257', 'n296'): 1.5, ('n462', 'n257'): 1.5, ('n4', 'n462'): 1.6, ('n3', 'n462'): 1.6, ('n1', 'n296'): 1.6, ('n7', 'n296'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1840134,83.998,512,"{'n427': 7, 'n237': 80}","{('n427', 'n237'): 2.5, ('n237', 'n427'): 5.5, ('n4', 'n237'): 1.6, ('n3', 'n237'): 1.6, ('n1', 'n237'): 1.6, ('n7', 'n237'): 1.6}",-635.5634288869462
binpack_num.pl,arFarming,46.68682,2,57317,0.010700615,16,"{'n8': 26, 'n14': 68}","{('n14', 'n2'): 18.0, ('n8', 'n14'): 44.1, ('n14', 'n8'): 20.0, ('n8', 'n0'): 1.0, ('n0', 'n8'): 24.0, ('n4', 'n8'): 4.0, ('n12', 'n8'): 3.2}"
