Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack_num,speakToMe,86.05130000000001,2,53669,0.010692267000000002,16,"{'n5': 38, 'n1': 296}","{('n5', 'n1'): 8.0, ('n5', 'n4'): 4.0, ('n1', 'n5'): 4.0, ('n0', 'n1'): 2.0}",-160.2688,25.1613
binpack,speakToMe,231.05290000000002,4,73541,0.013841654589996,16,"{'n5': 38, 'n8': 22, 'n11': 54, 'n4': 220}","{('n8', 'n4'): 6.4, ('n5', 'n8'): 6.4, ('n5', 'n11'): 1.6, ('n5', 'n4'): 4.0, ('n8', 'n5'): 1.6, ('n11', 'n8'): 1.0, ('n4', 'n11'): 2.0, ('n4', 'n5'): 2.4000000000000004, ('n0', 'n4'): 2.0}",3.0678,72.1277
ortools,speakToMe,223.9647,5,909,0.169,16,"{'n5': 38, 'n8': 40, 'n11': 54, 'n7': 2, 'n4': 200}","{('n8', 'n4'): 8.4, ('n5', 'n8'): 6.4, ('n5', 'n11'): 1.6, ('n5', 'n4'): 4.0, ('n7', 'n5'): 1.6, ('n11', 'n7'): 1.0, ('n4', 'n11'): 2.0, ('n4', 'n5'): 2.4000000000000004, ('n0', 'n8'): 2.0}",0.0,71.2456
ortools_num,speakToMe,64.3997,4,3564,2.647,16,"{'n0': 4, 'n8': 74, 'n7': 154, 'n6': 102}","{('n8', 'n7'): 8.0, ('n0', 'n7'): 1.6, ('n8', 'n0'): 4.0, ('n8', 'n4'): 4.0, ('n7', 'n8'): 1.6, ('n6', 'n8'): 3.6, ('n8', 'n6'): 3.0, ('n6', 'n0'): 2.4000000000000004, ('n0', 'n8'): 2.0}",-247.7729,0.0
binpack,speakToMe,209.63030000000003,4,63599,0.012094650999999998,32,"{'n24': 8, 'n10': 96, 'n27': 30, 'n8': 200}","{('n10', 'n8'): 8.4, ('n27', 'n10'): 6.4, ('n24', 'n10'): 1.6, ('n27', 'n24'): 5.6, ('n27', 'n4'): 4.0, ('n24', 'n27'): 1.6, ('n10', 'n27'): 1.6, ('n8', 'n10'): 2.0, ('n8', 'n24'): 2.4000000000000004, ('n2', 'n10'): 2.0}",3.3886,69.2794
binpack_num,speakToMe,86.05130000000001,2,60143,0.011567560000000001,32,"{'n27': 38, 'n7': 296}","{('n27', 'n7'): 8.0, ('n27', 'n4'): 4.0, ('n7', 'n27'): 4.0, ('n2', 'n7'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,6,1824,0.113,32,"{'n12': 34, 'n18': 44, 'n24': 4, 'n9': 2, 'n10': 50, 'n8': 200}","{('n18', 'n8'): 8.4, ('n12', 'n18'): 6.4, ('n12', 'n10'): 1.6, ('n12', 'n4'): 4.0, ('n24', 'n12'): 1.6, ('n12', 'n24'): 1.6, ('n9', 'n12'): 1.6, ('n18', 'n9'): 1.0, ('n8', 'n18'): 2.0, ('n8', 'n12'): 2.4000000000000004, ('n2', 'n18'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,13772,1.958,32,"{'n3': 2, 'n27': 24, 'n23': 30, 'n1': 2, 'n15': 20, 'n21': 4, 'n25': 2, 'n24': 50, 'n20': 100, 'n28': 100}","{('n27', 'n20'): 6.4, ('n23', 'n27'): 6.4, ('n3', 'n24'): 1.0, ('n23', 'n3'): 4.0, ('n23', 'n4'): 4.0, ('n21', 'n23'): 1.6, ('n23', 'n21'): 1.6, ('n25', 'n23'): 1.6, ('n27', 'n25'): 1.0, ('n28', 'n27'): 2.0, ('n1', 'n24'): 0.6000000000000001, ('n28', 'n1'): 2.4000000000000004, ('n15', 'n28'): 2.0, ('n2', 'n15'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,89981,0.016410298000000004,64,"{'n50': 38, 'n17': 296}","{('n50', 'n17'): 8.0, ('n50', 'n6'): 4.0, ('n17', 'n50'): 4.0, ('n0', 'n17'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,5,6800,0.588,64,"{'n53': 34, 'n44': 44, 'n52': 4, 'n25': 202, 'n15': 50}","{('n44', 'n25'): 9.4, ('n53', 'n44'): 6.4, ('n53', 'n15'): 1.6, ('n53', 'n6'): 4.0, ('n52', 'n53'): 1.6, ('n53', 'n52'): 1.6, ('n25', 'n53'): 4.0, ('n25', 'n44'): 2.0, ('n0', 'n44'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,9,54156,6.14,64,"{'n24': 2, 'n16': 24, 'n6': 30, 'n1': 2, 'n49': 20, 'n56': 4, 'n20': 102, 'n17': 50, 'n60': 100}","{('n16', 'n60'): 6.4, ('n6', 'n16'): 6.4, ('n24', 'n17'): 1.0, ('n6', 'n24'): 4.0, ('n56', 'n6'): 1.6, ('n6', 'n56'): 1.6, ('n20', 'n6'): 1.6, ('n16', 'n20'): 1.0, ('n20', 'n16'): 2.0, ('n1', 'n17'): 0.6000000000000001, ('n20', 'n1'): 2.4000000000000004, ('n49', 'n20'): 2.0, ('n0', 'n49'): 2.0}",-214.4839,0.0
binpack,speakToMe,209.64350000000005,4,282453,0.050813775000000005,128,"{'n23': 8, 'n0': 92, 'n87': 30, 'n6': 204}","{('n0', 'n6'): 8.4, ('n87', 'n0'): 6.4, ('n23', 'n0'): 1.6, ('n87', 'n23'): 5.6, ('n87', 'n7'): 4.0, ('n23', 'n87'): 1.6, ('n0', 'n87'): 1.6, ('n6', 'n0'): 1.0, ('n6', 'n23'): 2.4000000000000004, ('n4', 'n0'): 2.0}",3.3947,69.2813
binpack_num,speakToMe,86.05130000000001,2,163660,0.033665838000000003,128,"{'n87': 38, 'n6': 296}","{('n87', 'n6'): 8.0, ('n87', 'n7'): 4.0, ('n6', 'n87'): 4.0, ('n4', 'n6'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,7,22570,2.571,128,"{'n70': 34, 'n77': 40, 'n32': 4, 'n107': 4, 'n61': 2, 'n0': 50, 'n55': 200}","{('n77', 'n55'): 8.4, ('n70', 'n77'): 6.4, ('n70', 'n0'): 1.6, ('n70', 'n7'): 4.0, ('n107', 'n70'): 1.6, ('n70', 'n107'): 1.6, ('n61', 'n70'): 1.6, ('n32', 'n61'): 1.0, ('n55', 'n32'): 2.0, ('n55', 'n70'): 2.4000000000000004, ('n4', 'n77'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,214796,22.027,128,"{'n127': 2, 'n38': 20, 'n15': 30, 'n110': 4, 'n37': 2, 'n0': 20, 'n39': 104, 'n13': 2, 'n53': 50, 'n61': 100}","{('n38', 'n39'): 6.4, ('n15', 'n38'): 6.4, ('n127', 'n53'): 1.0, ('n15', 'n127'): 4.0, ('n15', 'n7'): 4.0, ('n39', 'n15'): 1.6, ('n15', 'n39'): 1.6, ('n13', 'n15'): 1.6, ('n110', 'n13'): 1.0, ('n61', 'n110'): 2.0, ('n37', 'n53'): 0.6000000000000001, ('n61', 'n37'): 2.4000000000000004, ('n0', 'n61'): 2.0, ('n4', 'n0'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,552144,0.11208986899999995,256,"{'n207': 38, 'n18': 296}","{('n207', 'n18'): 8.0, ('n207', 'n7'): 4.0, ('n18', 'n207'): 4.0, ('n8', 'n18'): 2.0}",-135.3558,25.1613
binpack,speakToMe,230.9327,4,1064858,0.2042801059999999,256,"{'n207': 38, 'n134': 42, 'n147': 54, 'n23': 200}","{('n134', 'n23'): 8.4, ('n207', 'n134'): 6.4, ('n207', 'n147'): 1.6, ('n207', 'n7'): 4.0, ('n134', 'n207'): 1.6, ('n147', 'n134'): 1.0, ('n23', 'n147'): 2.0, ('n23', 'n207'): 2.4000000000000004, ('n8', 'n134'): 2.0}",12.3006,72.1132
ortools,speakToMe,202.5267,6,79866,10.131,256,"{'n172': 34, 'n246': 44, 'n122': 4, 'n50': 102, 'n203': 50, 'n23': 100}","{('n246', 'n23'): 6.4, ('n172', 'n246'): 6.4, ('n172', 'n203'): 1.6, ('n172', 'n7'): 4.0, ('n122', 'n172'): 1.6, ('n172', 'n122'): 1.6, ('n50', 'n172'): 4.0, ('n246', 'n50'): 3.0, ('n50', 'n246'): 2.0, ('n8', 'n246'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,855564,95.654,256,"{'n174': 2, 'n79': 20, 'n211': 30, 'n126': 4, 'n8': 2, 'n31': 20, 'n98': 4, 'n104': 52, 'n71': 100, 'n151': 100}","{('n79', 'n71'): 6.4, ('n211', 'n79'): 6.4, ('n174', 'n104'): 1.0, ('n211', 'n174'): 4.0, ('n211', 'n7'): 4.0, ('n98', 'n211'): 1.6, ('n211', 'n98'): 1.6, ('n104', 'n211'): 1.6, ('n126', 'n104'): 1.0, ('n151', 'n126'): 2.0, ('n8', 'n104'): 0.6000000000000001, ('n151', 'n8'): 2.4000000000000004, ('n31', 'n151'): 2.0, ('n8', 'n31'): 2.0}",-214.4839,0.0
binpack,speakToMe,209.63030000000003,5,3588541,0.7791206719999995,512,"{'n478': 8, 'n300': 46, 'n498': 30, 'n196': 50, 'n62': 200}","{('n300', 'n62'): 8.4, ('n498', 'n300'): 6.4, ('n478', 'n196'): 1.6, ('n498', 'n478'): 5.6, ('n498', 'n9'): 4.0, ('n478', 'n498'): 1.6, ('n300', 'n498'): 1.6, ('n62', 'n300'): 2.0, ('n62', 'n478'): 2.4000000000000004, ('n5', 'n300'): 2.0}",3.3886,69.2794
binpack_num,speakToMe,86.05130000000001,2,1786463,0.4234075209999997,512,"{'n498': 38, 'n62': 296}","{('n498', 'n62'): 8.0, ('n498', 'n9'): 4.0, ('n62', 'n498'): 4.0, ('n5', 'n62'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,7,322405,48.803,512,"{'n220': 34, 'n232': 40, 'n58': 4, 'n439': 4, 'n201': 2, 'n486': 50, 'n492': 200}","{('n232', 'n492'): 8.4, ('n220', 'n232'): 6.4, ('n220', 'n486'): 1.6, ('n220', 'n9'): 4.0, ('n439', 'n220'): 1.6, ('n220', 'n439'): 1.6, ('n201', 'n220'): 1.6, ('n58', 'n201'): 1.0, ('n492', 'n58'): 2.0, ('n492', 'n220'): 2.4000000000000004, ('n5', 'n232'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,3,3415052,679.761,512,"{'n26': 78, 'n62': 204, 'n404': 52}","{('n26', 'n62'): 10.0, ('n26', 'n404'): 2.6, ('n26', 'n9'): 4.0, ('n62', 'n26'): 6.0, ('n404', 'n26'): 1.6, ('n5', 'n26'): 2.0}",-214.4839,0.0
