Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack_num,speakToMe,86.05130000000001,2,52052,0.010189598000000001,16,"{'n9': 38, 'n15': 296}","{('n9', 'n15'): 8.0, ('n9', 'n0'): 4.0, ('n15', 'n9'): 4.0, ('n3', 'n15'): 2.0}",,25.1613
ortools_num,speakToMe,64.3997,6,3564,1.057,16,"{'n12': 6, 'n11': 20, 'n2': 30, 'n10': 22, 'n6': 104, 'n1': 152}","{('n11', 'n6'): 6.4, ('n2', 'n11'): 6.4, ('n12', 'n1'): 2.0, ('n2', 'n12'): 4.0, ('n2', 'n0'): 4.0, ('n6', 'n2'): 1.6, ('n2', 'n6'): 1.6, ('n1', 'n2'): 1.6, ('n1', 'n12'): 2.0, ('n10', 'n1'): 2.6, ('n1', 'n10'): 2.4000000000000004, ('n3', 'n10'): 2.0}",,0.0
binpack,speakToMe,209.63030000000003,4,70867,0.013116700000000002,32,"{'n25': 8, 'n8': 96, 'n12': 30, 'n31': 200}","{('n8', 'n31'): 8.4, ('n12', 'n8'): 6.4, ('n25', 'n8'): 1.6, ('n12', 'n25'): 5.6, ('n12', 'n0'): 4.0, ('n25', 'n12'): 1.6, ('n8', 'n12'): 1.6, ('n31', 'n8'): 2.0, ('n31', 'n25'): 2.4000000000000004, ('n9', 'n8'): 2.0}",3.3886,69.2794
binpack_num,speakToMe,86.05130000000001,2,60363,0.011555913999999997,32,"{'n12': 38, 'n17': 296}","{('n12', 'n17'): 8.0, ('n12', 'n0'): 4.0, ('n17', 'n12'): 4.0, ('n9', 'n17'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,6,2147,0.219,32,"{'n12': 34, 'n24': 44, 'n15': 4, 'n31': 2, 'n4': 50, 'n18': 200}","{('n24', 'n18'): 8.4, ('n12', 'n24'): 6.4, ('n12', 'n4'): 1.6, ('n12', 'n0'): 4.0, ('n15', 'n12'): 1.6, ('n12', 'n15'): 1.6, ('n31', 'n12'): 1.6, ('n24', 'n31'): 1.0, ('n18', 'n24'): 2.0, ('n18', 'n12'): 2.4000000000000004, ('n9', 'n24'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,8,13772,1.798,32,"{'n24': 8, 'n13': 20, 'n16': 30, 'n20': 20, 'n2': 4, 'n27': 102, 'n6': 50, 'n25': 100}","{('n13', 'n27'): 6.4, ('n16', 'n13'): 6.4, ('n24', 'n6'): 1.6, ('n16', 'n24'): 4.0, ('n16', 'n0'): 4.0, ('n2', 'n16'): 1.6, ('n16', 'n2'): 1.6, ('n27', 'n16'): 1.6, ('n24', 'n27'): 1.0, ('n25', 'n24'): 4.4, ('n20', 'n25'): 2.0, ('n9', 'n20'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,87025,0.016627193,64,"{'n3': 38, 'n49': 296}","{('n3', 'n49'): 8.0, ('n49', 'n3'): 4.0, ('n2', 'n49'): 2.0}",-135.3558,25.1613
binpack,speakToMe,230.9327,3,108691,0.019554109,64,"{'n46': 38, 'n16': 96, 'n15': 200}","{('n16', 'n15'): 8.4, ('n46', 'n16'): 8.0, ('n46', 'n3'): 4.0, ('n16', 'n46'): 1.6, ('n15', 'n16'): 2.0, ('n15', 'n46'): 2.4000000000000004, ('n2', 'n16'): 2.0}",12.3006,72.1132
ortools,speakToMe,202.5267,6,4638,0.748,64,"{'n9': 34, 'n39': 44, 'n44': 4, 'n28': 2, 'n16': 50, 'n15': 200}","{('n39', 'n15'): 8.4, ('n9', 'n39'): 6.4, ('n9', 'n16'): 1.6, ('n9', 'n3'): 4.0, ('n44', 'n9'): 1.6, ('n9', 'n44'): 1.6, ('n28', 'n9'): 1.6, ('n39', 'n28'): 1.0, ('n15', 'n39'): 2.0, ('n15', 'n9'): 2.4000000000000004, ('n2', 'n39'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,54156,7.592,64,"{'n27': 2, 'n8': 20, 'n52': 30, 'n61': 4, 'n50': 2, 'n26': 20, 'n15': 104, 'n60': 2, 'n6': 50, 'n23': 100}","{('n8', 'n23'): 6.4, ('n52', 'n8'): 6.4, ('n27', 'n6'): 1.0, ('n52', 'n27'): 4.0, ('n52', 'n3'): 4.0, ('n15', 'n52'): 1.6, ('n52', 'n15'): 1.6, ('n60', 'n52'): 1.6, ('n61', 'n60'): 1.0, ('n15', 'n61'): 2.0, ('n50', 'n6'): 0.6000000000000001, ('n15', 'n50'): 2.4000000000000004, ('n26', 'n15'): 2.0, ('n2', 'n26'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,183801,0.03533182100000001,128,"{'n0': 38, 'n113': 296}","{('n0', 'n113'): 8.0, ('n0', 'n6'): 4.0, ('n113', 'n0'): 4.0, ('n9', 'n113'): 2.0}",-160.2688,25.1613
binpack,speakToMe,230.9327,4,309230,0.054618574,128,"{'n46': 38, 'n69': 90, 'n63': 6, 'n113': 200}","{('n69', 'n113'): 8.4, ('n46', 'n69'): 8.0, ('n46', 'n6'): 4.0, ('n63', 'n46'): 1.6, ('n113', 'n63'): 2.0, ('n113', 'n46'): 2.4000000000000004, ('n9', 'n69'): 2.0}",3.0173,72.1132
ortools,speakToMe,223.9647,6,23751,2.698,128,"{'n101': 38, 'n21': 40, 'n47': 4, 'n17': 2, 'n69': 50, 'n113': 200}","{('n21', 'n113'): 8.4, ('n101', 'n21'): 6.4, ('n101', 'n69'): 1.6, ('n101', 'n6'): 4.0, ('n17', 'n101'): 1.6, ('n47', 'n17'): 1.0, ('n113', 'n47'): 2.0, ('n113', 'n101'): 2.4000000000000004, ('n9', 'n21'): 2.0}",0.0,71.2456
