Version,App,Cost,NDistinct,Infs,Time,Size,Change
binpack.pl,arFarming,46.410360000000004,4,68463,0.021605679000000003,16,-8.618765292595379e-05
ortools,arFarming,46.4104,3,548,0.023,16,0.0
binpack.pl,arFarming,34.35808,4,71092,0.021958933,32,8.126414514431545
ortools,arFarming,31.566,5,1412,0.054,32,0.0
binpack.pl,arFarming,31.457980000000003,4,74572,0.02476558699999999,64,36.372265479220225
ortools,arFarming,20.016,5,5898,0.207,64,0.0
binpack.pl,arFarming,31.457980000000003,4,84253,0.03302278499999997,128,36.372265479220225
ortools,arFarming,20.016,5,21303,0.89,128,0.0
binpack.pl,speakToMe,124.67700000000002,4,64006,0.02088238,16,0.08036767005944573
ortools,speakToMe,124.5768,3,642,0.024,16,0.0
binpack.pl,speakToMe,72.80570000000002,3,65926,0.021601248000000003,32,1.951887656488709e-14
ortools,speakToMe,72.8057,3,1708,0.059,32,0.0
binpack.pl,arFarming,34.35808,4,100709,0.06947174899999997,256,41.742961189915164
ortools,arFarming,20.016,6,77120,3.042,256,0.0
binpack.pl,speakToMe,71.03810000000001,4,70533,0.024047581999999998,64,9.344844527091825
ortools,speakToMe,64.3997,4,6916,0.228,64,0.0
binpack.pl,speakToMe,71.03810000000001,3,80353,0.03222846699999998,128,9.344844527091825
ortools,speakToMe,64.3997,4,28755,1.002,128,0.0
binpack.pl,speakToMe,71.03810000000001,3,95426,0.067255603,256,9.344844527091825
ortools,speakToMe,64.3997,4,89601,3.245,256,0.0
binpack.pl,distSecurity,52.289,4,58193,0.020401092,16,0
ortools,distSecurity,52.289,4,268,0.013,16,0
binpack.pl,distSecurity,49.453,4,58924,0.020773226000000006,32,0
ortools,distSecurity,49.453,4,801,0.029,32,0
binpack.pl,distSecurity,21.733000000000004,5,61510,0.02232848400000001,64,1.634709280265265e-14
ortools,distSecurity,21.733,5,3258,0.101,64,0.0
binpack.pl,distSecurity,30.943000000000005,4,66137,0.030644569999999982,128,29.764405519826788
ortools,distSecurity,21.733,5,12156,0.404,128,0.0
binpack.pl,distSecurity,40.24300000000001,4,74037,0.06577656300000001,256,45.99557687051165
ortools,distSecurity,21.733,5,39618,1.474,256,0.0
binpack.pl,arFarming,43.00798,3,138906,0.25464880099999965,512,53.45979978599321
ortools,arFarming,20.016,5,327246,14.427,512,0.0
binpack.pl,speakToMe,65.05060000000002,5,133322,0.22275421500000014,512,1.0006056823457758
ortools,speakToMe,64.3997,4,411907,15.927,512,0.0
binpack.pl,distSecurity,40.24300000000001,4,92052,0.2247229220000002,512,45.99557687051165
ortools,distSecurity,21.733,5,167132,7.275,512,0.0
